                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6318,                  1.769,                 1.2448,                0.83256,                0.71092,                0.79967,                0.43913,                 1.5263,                 1.2498,                 1.2886,             0.00055489,             0.00055489,             0.00055489
                      2,                 1.5885,                 1.3109,                 1.2372,                0.82102,                0.72661,                 0.8172,                0.45217,                 1.5398,                 1.0772,                 1.2811,              0.0010996,              0.0010996,              0.0010996
                      3,                 1.5699,                 1.1797,                 1.2482,                0.86417,                0.70678,                0.82252,                0.46846,                  1.528,                 1.0175,                  1.289,              0.0016332,              0.0016332,              0.0016332
                      4,                 1.5737,                 1.1335,                 1.2538,                0.85558,                0.75515,                0.85473,                0.49011,                 1.4951,                0.95352,                 1.2463,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.5466,                 1.0666,                  1.235,                0.85582,                0.75287,                 0.8515,                0.51228,                 1.4472,                0.89422,                 1.2393,               0.001601,               0.001601,               0.001601
                      6,                 1.5189,                 1.0309,                 1.2184,                0.88888,                0.79237,                0.86996,                0.50076,                 1.5216,                0.86451,                 1.2603,              0.0015845,              0.0015845,              0.0015845
                      7,                  1.511,                0.99762,                  1.216,                0.89923,                0.78792,                0.87958,                0.51834,                 1.4346,                0.84348,                  1.226,               0.001568,               0.001568,               0.001568
                      8,                 1.5107,                0.96852,                 1.2205,                0.87854,                0.78883,                 0.8642,                0.51311,                 1.4124,                 0.8361,                 1.2167,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.4864,                0.95303,                 1.2096,                0.86317,                0.78453,                0.86397,                0.49693,                 1.4787,                0.82836,                 1.2314,               0.001535,               0.001535,               0.001535
                     10,                 1.4786,                0.93358,                 1.2032,                 0.9251,                0.76706,                0.87898,                0.52513,                 1.4326,                0.78958,                 1.2151,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.4719,                0.90492,                 1.2004,                0.89361,                0.78887,                 0.8853,                0.52863,                 1.4098,                0.78821,                 1.2004,               0.001502,               0.001502,               0.001502
                     12,                  1.464,                0.90329,                 1.1842,                0.89243,                0.79688,                0.88975,                0.51892,                 1.4434,                0.78612,                 1.2167,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.4722,                0.88557,                 1.1973,                0.90267,                0.81355,                0.89352,                0.52231,                 1.4507,                0.75687,                 1.2203,               0.001469,               0.001469,               0.001469
                     14,                 1.4449,                0.87894,                 1.1904,                0.89832,                0.81833,                0.90224,                0.52636,                 1.4539,                0.75691,                 1.2197,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.4454,                0.86276,                 1.1919,                0.91094,                0.83068,                0.90383,                0.52499,                 1.4808,                0.76087,                 1.2291,               0.001436,               0.001436,               0.001436
                     16,                 1.4495,                0.86662,                 1.1842,                0.89402,                0.80697,                0.89337,                0.55105,                 1.3836,                0.77379,                 1.2074,              0.0014195,              0.0014195,              0.0014195
